Date,Portfolio,SPY,Portfolio Monthly Return
2016-01-31,1.0,,0.0
2016-02-29,1.0,0.999174259345019,0.0
2016-03-31,1.05981735773337,1.0663846230268539,0.059817357733370116
2016-04-30,1.094618133526889,1.0705877684249598,0.032836578434559005
2016-05-31,1.0871257874597657,1.0887995087749234,-0.006844712176457953
2016-06-30,1.1264769110083745,1.0925843470612602,0.036197396844535115
2016-07-31,1.123596671888922,1.1324321654284275,-0.002556855885198793
2016-08-31,1.1300591719089104,1.1337884804671212,0.005751619047717445
2016-09-30,1.1558156833363933,1.133853814814949,0.022792179443112515
2016-10-31,1.1464981532790552,1.1141966333387143,-0.008061432451272776
2016-11-30,1.1312408609122113,1.155241659485,-0.013307733922821547
2016-12-31,1.147509171656157,1.1786605380632054,0.014380943357038139
2017-01-31,1.1670583391523273,1.1997521941606704,0.017036175377975898
2017-02-28,1.1765294905806831,1.2468922736975714,0.008115405297763334
2017-03-31,1.173710037476964,1.2484509114606201,-0.0023964151568589185
2017-04-30,1.1817993403987261,1.2608433409662063,0.006892079528561449
2017-05-31,1.1776520593550082,1.2786374247597843,-0.0035092937539792724
2017-06-30,1.202989991977067,1.2867885119725884,0.021515635641936776
2017-07-31,1.2474755772361723,1.3132373987189816,0.036979181502578465
2017-08-31,1.2646189442918303,1.317069262865917,0.013742447041439933
2017-09-30,1.2795574034807677,1.343607554509338,0.011812616959729867
2017-10-31,1.3174234399606926,1.3752685051175932,0.029593073649465246
2017-11-30,1.3411592028006472,1.417304698859306,0.01801680622948587
2017-12-31,1.362918944440798,1.4344933014635537,0.016224577659916584
2018-01-31,1.449345530810312,1.5153399565447583,0.063412858645805
2018-02-28,1.3907054748473369,1.4602420976805184,-0.04045967970811633
2018-03-31,1.3679140539816146,1.4202159342017127,-0.016388387964190766
2018-04-30,1.3586326864600686,1.4275562435333629,-0.006785051659152441
2018-05-31,1.3948019239353477,1.4622583546878134,0.026621792509289977
2018-06-30,1.3935714878694743,1.470668084133911,-0.0008821582797948757
2018-07-31,1.4037147206638652,1.5251506105415806,0.0072785880614549825
2018-08-31,1.4614286503151552,1.5738336215758364,0.04111514170343329
2018-09-30,1.441267287460212,1.5831910243431317,-0.013795653212762474
2018-10-31,1.2949161141941747,1.4737853596600083,-0.10154339485768529
2018-11-30,1.3132830378380467,1.5011229979971257,0.01418387140490688
2018-12-31,1.2031965673209941,1.3689515194046264,-0.0838253958554731
2019-01-31,1.3134788446995336,1.4785575551459533,0.09165773937012729
2019-02-28,1.3094225956154197,1.52648601487151,-0.003088172375582972
2019-03-31,1.345175070717686,1.5541163101948439,0.02730400042124133
2019-04-30,1.3434327708066063,1.6176059617638858,-0.0012952216770936906
2019-05-31,1.287506331432341,1.5144488815419497,-0.04162950360417872
2019-06-30,1.3517935844227609,1.6198336492709084,0.04993160143834078
2019-07-31,1.3617758641871711,1.644324828994547,0.007384470439451599
2019-08-31,1.3672696935473878,1.616794068644931,0.004034312477329771
2019-09-30,1.3399452489257624,1.6482532541477317,-0.01998467804163199
2019-10-31,1.348411333574268,1.6846869578608323,0.006318231774986952
2019-11-30,1.3262971874965657,1.7456700195361778,-0.016400148476269395
2019-12-31,1.331723425137533,1.79639122058781,0.004091268301043043
2020-01-31,1.3320896369154867,1.7956657583984144,0.0002749908660019864
2020-02-29,1.2361570774972195,1.653510485140525,-0.07201659464929358
2020-03-31,1.1695874541697708,1.4470346152155422,-0.05385207473974796
2020-04-30,1.2215396949343822,1.6307841692365925,0.04441928697113936
2020-05-31,1.2262374866485934,1.7084829726886623,0.003845795379137094
2020-06-30,1.2389782738465778,1.7387824967516374,0.010390146555383653
2020-07-31,1.3339816094155452,1.8411828881257564,0.07667877441790538
2020-08-31,1.3553256720412492,1.9696911822886853,0.016000267526218265
2020-09-30,1.3189858346227117,1.8959390195405461,-0.026812623835130462
2020-10-31,1.2909215057251326,1.8486665055148044,-0.021277202651389104
2020-11-30,1.4582091396248078,2.0497585649566075,0.12958776591587334
2020-12-31,1.559712714412156,2.125699010142809,0.06960837922978916
2021-01-31,1.5969438749073774,2.1040366311008034,0.023870524456969168
2021-02-28,1.664179958991176,2.1625405191450544,0.04210297252162243
2021-03-31,1.6746931261512739,2.260718434332521,0.006317325901743644
2021-04-30,1.7024731501932462,2.3803341940181055,0.016588128062491915
2021-05-31,1.7176900775719994,2.395963880049854,0.008938130611355694
2021-06-30,1.7592419032365516,2.449699011258046,0.024190525524422135
2021-07-31,1.7512955622866577,2.509502151340185,-0.004516912049033447
2021-08-31,1.7690366409036953,2.584184608287127,0.010130259562739533
2021-09-30,1.7554908827755542,2.463747290088314,-0.007657138249675361
2021-10-31,1.8708530067187354,2.636612309046892,0.06571502311694469
2021-11-30,1.7809257420696543,2.6154285528943806,-0.04806752017722841
2021-12-31,1.8566822147334512,2.7363859436542826,0.04253769310771971
2022-01-31,1.7996755832356384,2.59206562207918,-0.030703494138870042
2022-02-28,1.7926017025995349,2.5155556621227224,-0.003930642112388621
2022-03-31,1.9022268484529736,2.61011611763045,0.06115421272581985
2022-04-30,1.8883838238596207,2.3810288012950136,-0.007277273267702517
2022-05-31,1.8673988429935346,2.3864031322568864,-0.011112667139456465
2022-06-30,1.764599352201324,2.1896194223123944,-0.05504956328848209
2022-07-31,1.7764623264873556,2.3912559036739363,0.006722757928723455
2022-08-31,1.7288299271458225,2.2936880235634867,-0.026813064724945747
2022-09-30,1.5788848493222174,2.0816460017749,-0.08673211602205073
2022-10-31,1.6616022574582172,2.2508325947206305,0.05238976621474885
2022-11-30,1.7302573409265514,2.3759602313635155,0.04131860266809998
2022-12-31,1.6534130692114855,2.239037467993836,-0.04441204779048417
2023-01-31,1.7184210560702933,2.379844976369504,0.03931745071412214
2023-02-28,1.6419200013164137,2.320009308518176,-0.044518224729405476
2023-03-31,1.7199797661058358,2.4060300164395336,0.0475417588718315
2023-04-30,1.7272805030664762,2.4444663154968693,0.004244664445774093
2023-05-31,1.7234711422252946,2.455750477437948,-0.0022054095061101453
2023-06-30,1.7746019203785612,2.6148826439909065,0.029667324796194716
2023-07-31,1.8278382350814621,2.700475844088638,0.02999901785947815
2023-08-31,1.780026622403563,2.656587890915243,-0.026157463915710423
2023-09-30,1.6798442647499205,2.5305741978396523,-0.05628138163370092
2023-10-31,1.6432714533809814,2.4756386990119066,-0.021771548789603853
2023-11-30,1.7399783017360275,2.701773051523891,0.058850196756034825
2023-12-31,1.7996448258225308,2.825123370858295,0.03429153342140674
2024-01-31,1.815286153037787,2.8701176399300463,0.0086913411973429
2024-02-29,1.9068137867615793,3.0199002103803148,0.050420499032962564
2024-03-31,1.9612668196806637,3.11865730573231,0.028557079509879287
2024-04-30,1.8579032552434323,2.9929135002045038,-0.05270244894779862
2024-05-31,1.9594428017464454,3.1442943922962314,0.054652763116941186
2024-06-30,2.024817398671069,3.255225609354314,0.03336387102821055
2024-07-31,2.057513176940187,3.29464331767632,0.016147519421048563
2024-08-31,2.101807767023858,3.3716248373495334,0.021528216966047932
2024-09-30,2.1573528617197715,3.4424442964276016,0.026427295382281835
2024-10-31,2.1614120043848692,3.4117258146974736,0.0018815385916340892
2024-11-30,2.216637177885417,3.6151786466905236,0.02555050744074346
2024-12-31,2.1510603795171415,3.528196789657876,-0.029583911621852844
2025-01-31,2.201920207433874,3.6229511106699688,0.023644072663431714
2025-02-28,2.1795949404529456,3.5769587037665356,-0.010138999090682794
2025-03-31,2.1467590620194903,3.3776534411545205,-0.015065128764995064
2025-04-30,2.19066723110459,3.3483684117443056,0.020453235699303164
2025-05-31,2.2362451307039266,3.5587966844351895,0.02080548745705901
2025-06-30,2.2690678608057704,3.7416692897989074,0.014677608304735374
2025-07-31,2.2536225236837026,3.8278455733934713,-0.006806908417707258
